id,name
1,Los Incas
2,Andres Belaunde
3,22 de agosto
4,Universidad
5,Naranjal
6,Izaguirre
7,Pacifico
8,Independencia
9,Los Jazmines
10,Tomas Valle
11,El Milagro
12,Honorio Delgado
13,Uni
14,Parque del Trabajo
15,Caqueta
16,Ramon Castilla
17,Dos de mayo
18,Quilca
19,España
20,Tacna
21,Jiron de la Union
22,Colmena
23,Estacion Central
24,Estadio Nacional
25,Mexico
26,Canada
27,Javier Prado
28,Canaval y Moreyra
29,Aramburu
30,Domingo Orue
31,Angamos
32,Ricardo Palma
33,Benavides
34,28 de Julio
35,Plaza de Flores
36,Balta
37,Bulevar
38,Union
39,Escuela Militar
40,Teran
41,Rosario de Villa
42,Matellini
